Author,Title,Tags
"Abenza y Rodríguez, Aureliano",Los caminos para el éxito,Ensayo|Autoayuda
"About, Edmond",La nariz de un notario,Literatura Universal
"Acosta, José de",Historia Natural y moral de las Indias,Historia y Novela histórica
"Acosta, Soledad",La mujer en la sociedad moderna,Historia y Novela histórica|Ensayo|Autoayuda
"Acuña, Manuel","Selección de poemas (Acuña, Manuel)",Literatura Hispanoamericana
"Adler, María Raquel",Místicas,Literatura Hispanoamericana
Aeschylus,The persians,Literatura Universal
Aeschylus,Prometheus bound,Literatura Universal
"Aguinaldo, Emilio",Reseña verídica de la Revolución Filipina,Literatura Universal
"Aimard, Gustave",Los merodeadores de fronteras,Literatura Universal
"Aimard, Gustave",Las noches mejicanas,Literatura Universal
"Alarcón, Pedro Antonio de",El sombrero de tres picos,Literatura Hispanoamericana
"Alarcón, Pedro Antonio de",El capitán veneno,Literatura Hispanoamericana
"Alarcón, Pedro Antonio de",El clavo,Literatura Hispanoamericana
"Alarcón, Pedro Antonio de",El niño de la bola,Literatura Hispanoamericana
"Alarcón, Pedro Antonio de",Viajes por España,Literatura Hispanoamericana
"Alas ""Clarín"", Leopoldo",La Regenta,Literatura Universal|Literatura Hispanoamericana
"Alas ""Clarín"", Leopoldo","¡Adiós, Cordera!",Literatura Universal
"Alas ""Clarín"", Leopoldo",Su único hijo,Literatura Hispanoamericana
"Alcott, Louisa May",Mujercitas,Literatura Universal|Infantil y juvenil
"Alcott, Louisa May",Little Women,Infantil y juvenil
"Alighieri, Dante",La Divina Comedia,Literatura Universal
"Alighieri, Dante",The divine comedy,Literatura Universal
"Alighieri, Dante",La divina comedia,Palabras sinfónicas (audiolibros)
"Allen, James",El camino de la paz,Autoayuda
"Allen, James",La realización de la prosperidad y la paz,Autoayuda
"Alonso, Manuel Antonio",El Gibaro: Cuadro de costumbres de la isla de Puerto Rico,Literatura Hispanoamericana
"Altamirano, Ignacio Manuel",El Zarco,Literatura Hispanoamericana|Historia y Novela histórica
"Altamirano, Ignacio Manuel",Navidad en las montañas,Literatura Universal
"Altamirano, Ignacio Manuel",El Zarco,Palabras sinfónicas (audiolibros)
"Altamirano, Manuel",Clemencia,Literatura Hispanoamericana|Historia y Novela histórica
"Altamirano, Manuel",Cuentos de invierno,Literatura Hispanoamericana
